1 t,	@vanessaliang sorry
2 t,	I really don't want to go to school.
3 t,	Hnay di boi lam mat cai kep toc ma minh thich nhat. Tiec qua!
4 t,	@listerlives awww.  well *gives you cookies*
5 t,	got bleach all over my trousers, noooooooooo
6 t,	wishes that tomorrow would not come.  #fb
7 t,	i think i'm sickkkk  pilek mampet batuk. hhhh going to extra rests...
8 t,	So, so, so tired
9 t,	@ihavecake Thanks! I can't go though. Booo.
10 t,	Had my hair cut and wanting to go the shops but it's pissing down  Where is an umbrella when you need one ??? Rihanna ??
11 t,	stuck on my heroes_contest fic
12 t,	@ReeMu I got mental and physical things to do. Don't know from where to start
13 t,	my new anti-virus ive just installed seems to be so effective, i struggle to open anything on the internet
14 t,	@BrittGoosie OOOOH! XD that aint good then
15 t,	is already having a very frustrating morning
16 t,	showdown's over but nothing is accomplished
17 t,	@chevale Izzat conquer our tv  I'm stuck in my own bedroom. Doing nothing. Man I'm bored!! :-/
18 t,	In Cleveland you have to pay for sunny days
19 t,	Will he get angry to us? Yesterday I joked that I'll cook grilled rabbit. Uhh, I'm so confused.
20 t,	@AntonetteArco tell me about it.
21 t,	is on a Ban for memorial weekend yes.......sigh
22 t,	lunch time over. Back to work
23 t,	@DrErotnik  Stay calm! Just think... &quot;What would Sonic do?&quot;
24 t,	@mayurjango It was bcoz of approving comments together that caused enormous outgoing email notifications leading to suspension of acc
25 t,	Sad... Senior exams start today which means soon i'll be stuck without mnm forever...  and because one acts are this weekend and i cant go
26 t,	@aMiseryBusiness cuz i dont think i can take it if he pass away
27 t,	@justinmoorhouse no unfortunately not got a ticket  bet you cant wait x
28 t,	@marcnobbs Send some over here Pleeeeeese. Haven't had decent fish and chips since the day I travelled over.
29 t,	@rachinabox part of this http://tinyurl.com/d7ezul you busy then?
30 t,	@Lollipopins @TheMakeupMuse @appletartlet don't get me started - slightly OCD here - numbers are a huge part of my obsession  lol
31 t,	On the Marc train waiting for take off.  The heat is on
32 t,	@KayleighHouston - Kay-leb they have taken away the screening we were going to go to   You free Tuesday afternoon instead?
33 t,	wow that was possibly the worst exam in my life!!!!
34 t,	Waiting in the Cincinatti airport for the next flight  borreed
35 t,	I seriously NEED a car!
36 t,	praying for the repose of the soul of Jane Yoensky, a former co-worker.
37 t,	Girlfriends car got broke into
38 t,	Long Weekends ahead! No plans yet   Should I go to Virginia beach?
39 t,	Receiving the International Herald Tribune at home for one month free = ultra luxurious. Mail arriving only after 11am: damn! Conclusion
40 t,	sina has to be in hospital..
41 t,	Good morning tweets... I'm at the airport waiting 4 my flight pray 4 me I don't like flying
42 t,	fucking twitter!
43 t,	@Brunty Blarg~  took sleepy medicine because I was in a lot of pain, was hoping it was keep me asleep for longer.
44 t,	Just woke up to get ready 4 school  so tired!!!!!!!!
45 t,	@daninater What kind of sexual favor?  I could use $500.  You could have given it to me.
46 t,	Sigh. Yoghurt packaging is so complicated. I just want to eat the stuff inside
47 t,	WOAH...I'm still shaking. A cop pulled me over on the Hwy. I thought I was going to get a speeding ticket (even though I wasn't speeding)
48 t,	@mallorymckay I did go's to lusso ...  But I did not see you ...
49 t,	About to head off to a beach campsite and no t or internet til Sunday
50 t,	dreading brushing my teeth b/c i just had oatmeal and i know the combo of oat and mint aren't going to be tasty
51 t,	On another note tho..ever had sum1 call u..WAKE U UP OUTTA YA SLEEP...only 2 talk 2 u for 2 fuckin minutes? SMFH...Never again
52 t,	@melvolner we are going to dr forlexi at 9 so we wont bethere either
53 t,	@mzlonelyme haha was getting worried without you updating after a couple days! willdo, cept im only there a couple hours for transit
54 t,	card used in Pakistan to buy diamond jewellery
55 t,	@tweegygibson Ummmm, I have nothing planned at all! Was going to go ice skating but too late.
56 t,	hopes her headache goes away before the cinema this evening
