Mon Apr 06 22:19:45 PDT 2009,"@switchfoot http://twitpic.com/2y1zl - Awww, that's a bummer.  You shoulda got David Carr of Third Day to do it. ;D"
Mon Apr 06 22:19:49 PDT 2009,is upset that he can't update his Facebook by texting it... and might cry as a result  School today also. Blah!
Mon Apr 06 22:19:53 PDT 2009,@Kenichan I dived many times for the ball. Managed to save 50%  The rest go out of bounds
Mon Apr 06 22:19:57 PDT 2009,my whole body feels itchy and like its on fire 
Mon Apr 06 22:19:57 PDT 2009,"@nationwideclass no, it's not behaving at all. i'm mad. why am i here? because I can't see you all over there. "
Mon Apr 06 22:20:00 PDT 2009,@Kwesidei not the whole crew 
Mon Apr 06 22:20:03 PDT 2009,Need a hug 
Mon Apr 06 22:20:03 PDT 2009,"@LOLTrish hey  long time no see! Yes.. Rains a bit ,only a bit  LOL , I'm fine thanks , how's you ?"
Mon Apr 06 22:20:05 PDT 2009,@Tatiana_K nope they didn't have it 
Mon Apr 06 22:20:09 PDT 2009,@twittera que me muera ? 
Mon Apr 06 22:20:16 PDT 2009,spring break in plain city... it's snowing 
Mon Apr 06 22:20:17 PDT 2009,I just re-pierced my ears 
Mon Apr 06 22:20:19 PDT 2009,@caregiving I couldn't bear to watch it.  And I thought the UA loss was embarrassing . . . . .
Mon Apr 06 22:20:19 PDT 2009,"@octolinz16 It it counts, idk why I did either. you never talk to me anymore "
Mon Apr 06 22:20:20 PDT 2009,"@smarrison i would've been the first, but i didn't have a gun.    not really though, zac snyder's just a doucheclown."
Mon Apr 06 22:20:20 PDT 2009,@iamjazzyfizzle I wish I got to watch it with you!! I miss you and @iamlilnicki  how was the premiere?!
Mon Apr 06 22:20:22 PDT 2009,Hollis' death scene will hurt me severely to watch on film  wry is directors cut not out now?
Mon Apr 06 22:20:25 PDT 2009,about to file taxes 
Mon Apr 06 22:20:31 PDT 2009,@LettyA ahh ive always wanted to see rent  love the soundtrack!!
Mon Apr 06 22:20:34 PDT 2009,@FakerPattyPattz Oh dear. Were you drinking out of the forgotten table drinks? 
Mon Apr 06 22:20:37 PDT 2009,@alydesigns i was out most of the day so didn't get much done 
